"filename", "language", "JavaScript", "JSON", "TypeScript", "TypeScript JSX", "JSON with Comments", "CSS", "Markdown", "comment", "blank", "total"
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 187, 0, 0, 0, 0, 19, 206
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/form.tsx", "TypeScript JSX", 0, 0, 0, 157, 0, 0, 0, 0, 25, 182
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/heading.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/modal.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/popover.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 7, 32
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 6, 49
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 109, 0, 0, 0, 0, 12, 121
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/separator.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/sheet.tsx", "TypeScript JSX", 0, 0, 0, 125, 0, 0, 0, 0, 16, 141
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/skeleton.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/slider.tsx", "TypeScript JSX", 0, 0, 0, 24, 0, 0, 0, 0, 5, 29
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/switch.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 0, 0, 5, 30
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 107, 0, 0, 0, 0, 11, 118
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/tabs.tsx", "TypeScript JSX", 0, 0, 0, 48, 0, 0, 0, 0, 8, 56
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/toast.tsx", "TypeScript JSX", 0, 0, 0, 117, 0, 0, 0, 0, 13, 130
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/toaster.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/ui/use-toast.ts", "TypeScript", 0, 0, 156, 0, 0, 0, 0, 3, 31, 190
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/components/view-profile.tsx", "TypeScript JSX", 0, 0, 0, 123, 0, 0, 0, 39, 3, 165
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/constants/data.ts", "TypeScript", 0, 0, 789, 0, 0, 0, 0, 43, 12, 844
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/constants/globe.json", "JSON", 0, 37387, 0, 0, 0, 0, 0, 0, 0, 37387
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/contants.ts", "TypeScript", 0, 0, 385, 0, 0, 0, 0, 0, 1, 386
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/hooks/useLocalStorage.ts", "TypeScript", 0, 0, 43, 0, 0, 0, 0, 0, 5, 48
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/lib/form-schema.ts", "TypeScript", 0, 0, 118, 0, 0, 0, 0, 8, 15, 141
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/lib/utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/middleware.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/next.config.mjs", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 1, 2, 5
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/package-lock.json", "JSON", 0, 7799, 0, 0, 0, 0, 0, 0, 1, 7800
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/package.json", "JSON", 0, 70, 0, 0, 0, 0, 0, 0, 1, 71
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/server/ApiList.tsx", "TypeScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/server/Auth/authAPI.ts", "TypeScript", 0, 0, 211, 0, 0, 0, 0, 0, 46, 257
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/server/DashboardList/computers.ts", "TypeScript", 0, 0, 147, 0, 0, 0, 0, 0, 31, 178
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/server/DashboardList/reports.ts", "TypeScript", 0, 0, 99, 0, 0, 0, 0, 1, 19, 119
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/server/DashboardList/sessions.ts", "TypeScript", 0, 0, 115, 0, 0, 0, 0, 0, 26, 141
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/server/DashboardList/users.ts", "TypeScript", 0, 0, 134, 0, 0, 0, 0, 0, 26, 160
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/tailwind.config.ts", "TypeScript", 0, 0, 156, 0, 0, 0, 0, 0, 7, 163
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 59, 0, 0, 0, 1, 60
"/Users/avikmukherjee/Desktop/All Projects/College Project/cafe-management-system/types/index.ts", "TypeScript", 0, 0, 112, 0, 0, 0, 0, 1, 14, 127
"Total", "-", 8, 45276, 2486, 8111, 59, 69, 25, 194, 1008, 57236
